lga_code,lga_name,state,welcoming_city_member,welcoming_city_accreditation,palm_alliance,crisp_settled,overseas_born_pct,language_other_than_english_pct,population,median_age
51860,Cocos (Keeling) Islands,WA,,,,0,8.1,64.1,593,
51890,Collie,WA,,,,0,11.4,2.6,8812,
51960,Coolgardie,WA,,,,0,16.5,5.2,3478,
52030,Coorow,WA,,,,0,10.2,2.1,1055,
52100,Corrigin,WA,,,,0,10.3,3.5,1007,
52170,Cottesloe,WA,,,,1,24.6,6.2,7970,
52240,Cranbrook,WA,,,,0,15.6,4,1100,
52310,Cuballing,WA,,,,0,14.3,2.8,902,
52380,Cue,WA,,,,0,30.2,4.7,215,
52450,Cunderdin,WA,,,,0,14.7,6.1,1302,
52520,Dalwallinu,WA,,,,0,17.3,9.3,1379,
52590,Dandaragan,WA,,,,0,14.8,4.1,3355,
52660,Dardanup,WA,,,,0,16.9,6.2,14686,
52730,Denmark,WA,,,,0,22.8,3.8,6310,
52800,Derby-West Kimberley,WA,,,,0,7.3,33.9,7075,
52870,Donnybrook-Balingup,WA,,,,0,18.5,4.6,6155,
52940,Dowerin,WA,,,,0,9,2.8,715,
53010,Dumbleyung,WA,,,,0,9,2.2,681,
53080,Dundas,WA,,,,0,19.1,7.2,677,
53150,East Fremantle,WA,,,,1,24.2,7.4,7819,
53220,East Pilbara,WA,,,,0,21.6,20.8,9760,
53290,Esperance,WA,,,,0,12.9,4.4,13883,
53360,Exmouth,WA,,,,0,18.5,6.3,3085,
53430,Fremantle,WA,,,,5,29.2,12.7,31930,
53570,Gingin,WA,,,,0,25.5,9.1,5576,
53640,Gnowangerup,WA,,,,0,15,7.4,1215,
53710,Goomalling,WA,,,,0,9.9,1.3,955,
53780,Gosnells,WA,,,,1,43.7,35.4,126376,
53800,Greater Geraldton,WA,,,,0,14.2,7.4,39489,
53920,Halls Creek,WA,,,,0,5.3,47.4,3574,
53990,Harvey,WA,,,,0,19.3,7.7,28567,
54060,Irwin,WA,,,,0,12.6,1.8,3680,
54130,Jerramungup,WA,,,,0,10.8,4,1160,
54170,Joondalup,WA,,,,0,37,10.6,160003,
54200,Kalamunda,WA,,,,1,28.6,12.4,58762,
54280,Kalgoorlie-Boulder,WA,,,,0,23.9,12.6,29306,
54310,Karratha,WA,,,,0,18.6,12.4,22199,
54340,Katanning,WA,,,,0,21.2,19.4,4057,
54410,Kellerberrin,WA,,,,0,11.2,4.2,1138,
54480,Kent,WA,,,,0,10.4,4.1,491,
54550,Kojonup,WA,,,,0,13.3,5.5,1901,
54620,Kondinin,WA,,,,0,11.6,3.3,847,
54690,Koorda,WA,,,,0,13,0,361,
54760,Kulin,WA,,,,0,8.6,2,769,
54830,Kwinana,WA,Y,,,0,34.7,21.2,45867,
54900,Lake Grace,WA,,,,0,14.1,5.5,1265,
54970,Laverton,WA,,,,0,15.2,17,1333,
55040,Leonora,WA,,,,0,18.4,11.6,1588,
55110,Mandurah,WA,Y,,,1,27.5,6.7,90306,
55180,Manjimup,WA,,,,0,15.9,6.3,9093,
55250,Meekatharra,WA,,,,0,14.3,14.3,1200,
